NAME,GEOID,state_name,Share with Medical Debt in Collections,"Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities","% population without health insurance, 2019 (ACS)","% white, non-Hispanic population without health insurance, 2019 (ACS)","% non-white population without health insurance, 2019 (ACS)","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Crawford County, Illinois",17033,Illinois,.0945017,n/a**,.0949914,.0612282,.0612672,.0605381,1008,n/a**,1008,.1233397,68410,114325,66952
"Franklin County, Maine",23007,Maine,.0942579,n/a**,.0939891,.1000503,.0998387,.10466,601,n/a**,608,.0437596,64842,49620,65301
"Washburn County, Wisconsin",55129,Wisconsin,.0940594,n/a**,.0940594,.0526553,.0511084,.0777778,1007,n/a**,1007,.0582611,64961,52204,65492
"Northampton County, Pennsylvania",42095,Pennsylvania,.0939293,n/a*,.0908,.0332965,.0259422,.0554936,734,n/a*,727,.2485677,93381,82589,95829
"Kemper County, Mississippi",28069,Mississippi,.09375,.0874317,n/a*,.1186959,.1092489,.1235614,n/a*,n/a*,n/a*,.6605652,42271,30077,65163
"Miami-Dade County, Florida",12086,Florida,.0936833,.096667,n/a*,.1627427,.0895199,.1734121,783,795,n/a*,.8722791,82803,73236,138866
"Sitka City and Borough, Alaska",02220,Alaska,.093617,n/a**,.093617,.1631729,.0957944,.2693252,n/a*,n/a**,n/a*,.3842593,90196,73324,97881
"Wexford County, Michigan",26165,Michigan,.0934579,n/a**,.0934579,.0679632,.0677603,.0715084,311,n/a**,311,.0548472,62864,54214,63184
"Grant County, Wisconsin",55043,Wisconsin,.093232,n/a**,.0936408,.0615266,.0587944,.1224114,871,n/a**,877,.0495428,66718,63288,66808
"Fergus County, Montana",30027,Montana,.0931507,n/a**,.0931507,.0915021,.0845355,.2046875,n/a*,n/a**,n/a*,.059353,67775,65158,67880
"Carroll County, New Hampshire",33003,New Hampshire,.0929348,n/a**,.0923673,.0901254,.0868709,.1662404,343,n/a**,343,.0417342,82289,93095,82060
"Wheatland County, Montana",30107,Montana,.0925926,n/a**,.0961538,.1331123,.1149949,.3941606,n/a*,n/a**,n/a*,.0662932,54148,82214,53643
"Essex County, Vermont",50009,Vermont,.0925926,n/a**,.0934579,.0387097,.040088,.0104167,n/a*,n/a**,n/a*,.0464516,55737,37136,56500
"Fairfield County, Connecticut",09001,Connecticut,.092558,.1316494,.0641677,.0911325,.0491929,.155713,683,618,615,.3945462,159703,103360,186556
